,Bacteria,Drug,MIC_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MolWt,,,
1322,Acinetobacter baumannii,Doxycycline,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,462.455,,,
1323,Acinetobacter baumannii,Tetracycline,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,444.44,,,
1324,Acinetobacter baumannii,Erythromycin,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,733.937,,,
1344,Pseudomonas aeruginosa,Ampicillin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organoheterocyclic compounds,349.412,,,
1345,Pseudomonas aeruginosa,Oxacillin,768,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,401.444,,,
1346,Pseudomonas aeruginosa,Streptomycin,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,581.58,,,
1347,Pseudomonas aeruginosa,Rifampicin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Macrolactams,822.953,,,
1348,Pseudomonas aeruginosa,Ciprofloxacin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
1349,Pseudomonas aeruginosa,Tetracycline,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Tetracyclines,444.44,,,
1350,Pseudomonas aeruginosa,Meropenem,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,383.47,,,
1351,Pseudomonas aeruginosa,Ceftazidime,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
1360,Escherichia coli,Ampicillin,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412,,,
1361,Klebsiella pneumoniae,Ampicillin,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organoheterocyclic compounds,349.412,,,
1362,Pseudomonas aeruginosa,Ampicillin,384,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organoheterocyclic compounds,349.412,,,
1363,Staphylococcus aureus,Ampicillin,1,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412,,,
1364,Bacillus subtilis,Ampicillin,0.064,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organoheterocyclic compounds,349.412,,,
1365,Candida albicans,Amphotericin B,0.25,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Organooxygen compounds,924.091,,,
1366,Malassezia furfur,Amphotericin B,1024,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,f,24,180,336,37,2,skin,Organooxygen compounds,924.091,,,
1367,Escherichia coli,Kanamycin,512,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503,,,
1368,Klebsiella pneumoniae,Kanamycin,192,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organooxygen compounds,484.503,,,
1369,Pseudomonas aeruginosa,Kanamycin,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,484.503,,,
1370,Staphylococcus aureus,Kanamycin,8,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503,,,
1371,Bacillus subtilis,Kanamycin,2,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organooxygen compounds,484.503,,,
1372,Escherichia coli,Tetracycline,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,444.44,,,
1373,Klebsiella pneumoniae,Tetracycline,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Tetracyclines,444.44,,,
1374,Pseudomonas aeruginosa,Tetracycline,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Tetracyclines,444.44,,,
1375,Staphylococcus aureus,Tetracycline,4,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,444.44,,,
1376,Bacillus subtilis,Tetracycline,0.125,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Tetracyclines,444.44,,,
1377,Escherichia coli,Ampicillin,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412,,,
1378,Klebsiella pneumoniae,Ampicillin,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organoheterocyclic compounds,349.412,,,
1379,Pseudomonas aeruginosa,Ampicillin,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organoheterocyclic compounds,349.412,,,
1380,Staphylococcus aureus,Ampicillin,64,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412,,,
1381,Bacillus subtilis,Ampicillin,0.125,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organoheterocyclic compounds,349.412,,,
1382,Escherichia coli,Kanamycin,1024,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503,,,
1383,Klebsiella pneumoniae,Kanamycin,512,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Organooxygen compounds,484.503,,,
1384,Pseudomonas aeruginosa,Kanamycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,484.503,,,
1385,Staphylococcus aureus,Kanamycin,16,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503,,,
1386,Bacillus subtilis,Kanamycin,2,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Organooxygen compounds,484.503,,,
1387,Escherichia coli,Tetracycline,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,444.44,,,
1388,Klebsiella pneumoniae,Tetracycline,640,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,n,24,48,72,30,2,respiratory tract,Tetracyclines,444.44,,,
1389,Pseudomonas aeruginosa,Tetracycline,96,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Tetracyclines,444.44,,,
1390,Staphylococcus aureus,Tetracycline,256,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,444.44,,,
1391,Bacillus subtilis,Tetracycline,48,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Tetracyclines,444.44,,,
1392,Candida albicans,Fluconazole,1024,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Benzene and substituted derivatives,306.276,,,
1393,Malassezia furfur,Fluconazole,4,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,f,24,180,336,37,2,skin,Benzene and substituted derivatives,306.276,,,
1394,Candida albicans,Ketoconazole,1024,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Diazinanes,531.44,,,
1395,Malassezia furfur,Ketoconazole,1024,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,f,24,180,336,37,2,skin,Diazinanes,531.44,,,
1396,Candida albicans,Amphotericin B,0.5,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Organooxygen compounds,924.091,,,
1397,Malassezia furfur,Amphotericin B,1024,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,f,24,180,336,37,2,skin,Organooxygen compounds,924.091,,,
1398,Candida albicans,Fluconazole,1024,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Benzene and substituted derivatives,306.276,,,
1399,Malassezia furfur,Fluconazole,96,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,f,24,180,336,37,2,skin,Benzene and substituted derivatives,306.276,,,
1400,Candida albicans,Ketoconazole,1024,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Diazinanes,531.44,,,
1401,Malassezia furfur,Ketoconazole,1024,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,f,24,180,336,37,2,skin,Diazinanes,531.44,,,
1402,Pseudomonas aeruginosa,Tobramycin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,467.52,,,
1403,Pseudomonas aeruginosa,Tobramycin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,467.52,,,
1404,Pseudomonas aeruginosa,Tobramycin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,467.52,,,
1405,Burkholderia cepacia,Tobramycin,256,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,n,24,36,48,35,2,food,Organooxygen compounds,467.52,,,
1406,Burkholderia cepacia,Tobramycin,256,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,n,24,36,48,35,2,food,Organooxygen compounds,467.52,,,
1407,Burkholderia cepacia,Tobramycin,256,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,n,24,36,48,35,2,food,Organooxygen compounds,467.52,,,
1408,Stenotrophomonas maltophilia,Tobramycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,n,12,18,24,37,1,water,Organooxygen compounds,467.52,,,
1409,Stenotrophomonas maltophilia,Tobramycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,n,12,18,24,37,1,water,Organooxygen compounds,467.52,,,
1410,Stenotrophomonas maltophilia,Tobramycin,256,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,n,12,18,24,37,1,water,Organooxygen compounds,467.52,,,
1414,Pseudomonas aeruginosa,Tobramycin,2.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,467.52,,,
1415,Pseudomonas aeruginosa,Tobramycin,2.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,467.52,,,
1416,Pseudomonas aeruginosa,Tobramycin,4.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,467.52,,,
1417,Burkholderia cepacia,Tobramycin,4.25,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,n,24,36,48,35,2,food,Organooxygen compounds,467.52,,,
1418,Burkholderia cepacia,Tobramycin,4.25,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,n,24,36,48,35,2,food,Organooxygen compounds,467.52,,,
1419,Burkholderia cepacia,Tobramycin,2.125,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,n,24,36,48,35,2,food,Organooxygen compounds,467.52,,,
1420,Stenotrophomonas maltophilia,Tobramycin,4.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,n,12,18,24,37,1,water,Organooxygen compounds,467.52,,,
1421,Stenotrophomonas maltophilia,Tobramycin,4.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,n,12,18,24,37,1,water,Organooxygen compounds,467.52,,,
1422,Stenotrophomonas maltophilia,Tobramycin,4.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,n,12,18,24,37,1,water,Organooxygen compounds,467.52,,,
1423,Staphylococcus aureus,Tobramycin,17,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,467.52,,,
1424,Staphylococcus aureus,Tobramycin,8.5,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,467.52,,,
1425,Staphylococcus aureus,Tobramycin,8.5,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,467.52,,,
1440,Pseudomonas aeruginosa,Amikacin,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608,,,
1441,Pseudomonas aeruginosa,Amikacin,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608,,,
1442,Pseudomonas aeruginosa,Amikacin,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608,,,
1443,Pseudomonas aeruginosa,Amikacin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608,,,
1444,Pseudomonas aeruginosa,Amikacin,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608,,,
1445,Pseudomonas aeruginosa,Amikacin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608,,,
1446,Pseudomonas aeruginosa,Gentamicin,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603,,,
1447,Pseudomonas aeruginosa,Gentamicin,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603,,,
1448,Pseudomonas aeruginosa,Gentamicin,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603,,,
1449,Pseudomonas aeruginosa,Gentamicin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603,,,
1450,Pseudomonas aeruginosa,Gentamicin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603,,,
1451,Pseudomonas aeruginosa,Gentamicin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603,,,
1452,Pseudomonas aeruginosa,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
1453,Pseudomonas aeruginosa,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
1454,Pseudomonas aeruginosa,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
1455,Pseudomonas aeruginosa,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
1456,Pseudomonas aeruginosa,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
1457,Pseudomonas aeruginosa,Ceftazidime,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587,,,
1458,Pseudomonas aeruginosa,Ciprofloxacin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
1459,Pseudomonas aeruginosa,Ciprofloxacin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
1460,Pseudomonas aeruginosa,Ciprofloxacin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
1461,Pseudomonas aeruginosa,Ciprofloxacin,0.062,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
1462,Pseudomonas aeruginosa,Ciprofloxacin,0.125,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
1463,Pseudomonas aeruginosa,Ciprofloxacin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347,,,
1464,Pseudomonas aeruginosa,Levofloxacin,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,361.373,,,
1465,Pseudomonas aeruginosa,Levofloxacin,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,361.373,,,
1466,Pseudomonas aeruginosa,Levofloxacin,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,361.373,,,
1467,Pseudomonas aeruginosa,Levofloxacin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,361.373,,,
1468,Pseudomonas aeruginosa,Levofloxacin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,361.373,,,
1469,Pseudomonas aeruginosa,Levofloxacin,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,361.373,,,
1470,Pseudomonas aeruginosa,Meropenem,64,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,383.47,,,
1471,Pseudomonas aeruginosa,Meropenem,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,383.47,,,
1472,Pseudomonas aeruginosa,Meropenem,4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,383.47,,,
1473,Pseudomonas aeruginosa,Meropenem,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,383.47,,,
1474,Pseudomonas aeruginosa,Meropenem,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,383.47,,,
1475,Pseudomonas aeruginosa,Meropenem,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,383.47,,,
1476,Pseudomonas aeruginosa,Colistin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,2296.971,,,
1477,Pseudomonas aeruginosa,Colistin,0.25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,2296.971,,,
1478,Pseudomonas aeruginosa,Colistin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,2296.971,,,
1479,Pseudomonas aeruginosa,Colistin,0.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,2296.971,,,
