,Bacteria,Drug,Drug_dose (μg/disk),ZOI_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MolWt
577,Staphylococcus aureus,Gentamicin,500,17,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Aminoglycoside ,477.603
578,Staphylococcus aureus,Kanamycin,500,16,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503
579,Staphylococcus aureus,Streptomycin,500,16,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,581.58
580,Staphylococcus aureus,Amoxicillin,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,365.411
581,Staphylococcus aureus,Ampicillin,500,18,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412
582,Staphylococcus aureus,Penicillin,500,15,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,372.487
583,Staphylococcus aureus,Piperacillin,500,15,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,517.564
584,Staphylococcus aureus,Faropenem,500,18,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,285.321
585,Staphylococcus aureus,Ceftazidime,500,12,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,546.587
586,Staphylococcus aureus,Ceftriaxone,500,17,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,554.592
587,Staphylococcus aureus,Cefotaxime,500,20,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,477.456
588,Staphylococcus aureus,Polymyxin,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,NC,2392.971
589,Staphylococcus aureus,Vancomycin,500,15,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,carboxylic acids,1449.271
590,Staphylococcus aureus,Erythromycin,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,733.937
591,Staphylococcus aureus,Nalidixic acid,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Diazanaphthalenes,232.239
592,Staphylococcus aureus,Rifampicin,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Macrolactams,822.953
593,Staphylococcus aureus,Tetracycline,500,25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,444.44
594,Staphylococcus aureus,Doxycycline,500,11,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,462.455
595,Staphylococcus aureus,Chloramphenicol,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Benzene derivatives,323.132
596,Staphylococcus aureus,Nitrofurantoin,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Azolidines,238.159
597,Staphylococcus aureus,Trimethoprim,500,7,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,phenol ethers,290.323
601,Enterococcus faecalis,Gentamicin,10,20,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,p,24,36,48,37,2,urine,Aminoglycoside ,477.603
602,Enterococcus faecalis,Chloramphenicol,10,19,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,p,24,36,48,37,2,urine,Benzene derivatives,323.132
726,Staphylococcus epidermidis,Fusidic acid,30,25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Steroids and steroid derivatives,516.719
727,Staphylococcus epidermidis,Gentamicin,10,14,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603
728,Staphylococcus epidermidis,Gentamicin,10,7,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Aminoglycoside ,477.603
729,Staphylococcus epidermidis,Ciprofloxacin,30,22,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Quinolines,331.347
730,Staphylococcus epidermidis,Fusidic acid,30,10,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Steroids and steroid derivatives,516.719
731,Staphylococcus epidermidis,Ciprofloxacin,30,18,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,p,16,18,20,37,1,skin,Quinolines,331.347
732,Staphylococcus aureus,Erythromycin,15,10,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,733.937
733,Staphylococcus aureus,Penicillin,10,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,372.487
734,Salmonella typhi,Chloramphenicol,50,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Benzene derivatives,323.132
735,Salmonella typhi,Levofloxacin,5,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Quinolines,361.373
736,Salmonella paratyphi,Levofloxacin,5,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,24,132,240,37,2,blood,Quinolines,361.373
737,Salmonella paratyphi,Nalidixic acid,30,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,24,132,240,37,2,blood,Diazanaphthalenes,232.239
738,Vibrio cholerae,Erythromycin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,n,48,60,72,30,2,water,Organooxygen compounds,733.937
739,Vibrio cholerae,Ampicillin,25,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,n,48,60,72,30,2,water,Organoheterocyclic compounds,349.412
744,Escherichia coli,Erythromycin,10,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,733.937
745,Salmonella typhi,Erythromycin,10,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Organooxygen compounds,733.937
746,Staphylococcus aureus,Erythromycin,10,9,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,733.937
747,Micrococcus luteus,Erythromycin,10,8,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,Organooxygen compounds,733.937
748,Escherichia coli,Kanamycin,10,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503
749,Salmonella typhi,Kanamycin,10,13,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Organooxygen compounds,484.503
750,Staphylococcus aureus,Kanamycin,10,9,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503
751,Micrococcus luteus,Kanamycin,10,10,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,Organooxygen compounds,484.503
752,Escherichia coli,Chloramphenicol,10,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Benzene derivatives,323.132
753,Salmonella typhi,Chloramphenicol,10,29,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Benzene derivatives,323.132
754,Staphylococcus aureus,Chloramphenicol,10,9,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Benzene derivatives,323.132
755,Micrococcus luteus,Chloramphenicol,10,10,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,Benzene derivatives,323.132
756,Escherichia coli,Ampicillin,10,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412
757,Salmonella typhi,Ampicillin,10,11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,168,252,336,37,2,blood,Organoheterocyclic compounds,349.412
758,Staphylococcus aureus,Ampicillin,10,11,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412
759,Micrococcus luteus,Ampicillin,10,10,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,p,240,288,336,30,1,soil,Organoheterocyclic compounds,349.412
853,Escherichia coli,Azithromycin,15,28,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,748.996
854,Escherichia coli,Gentamicin,10,31,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Aminoglycoside ,477.603
855,Escherichia coli,Oxacillin,1,19,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,401.444
856,Escherichia coli,Cefotaxime,40,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,477.456
857,Escherichia coli,Neomycin,30,27,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,aminoglycoside ,614.65
858,Escherichia coli,Ampicillin,20,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412
859,Escherichia coli,Cefuroxime,30,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,424.391
860,Escherichia coli,Fosfomycin,50,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organic phosphonic acids and derivatives,138.059
861,Escherichia coli,Chloramphenicol,30,27,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Benzene derivatives,323.132
862,Escherichia coli,Tetracycline,30,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,444.44
863,Staphylococcus aureus,Azithromycin,15,27,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,748.996
864,Staphylococcus aureus,Gentamicin,10,27,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Aminoglycoside ,477.603
865,Staphylococcus aureus,Oxacillin,1,33,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,401.444
866,Staphylococcus aureus,Cefotaxime,40,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,477.456
867,Staphylococcus aureus,Neomycin,30,30,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,aminoglycoside ,614.65
868,Staphylococcus aureus,Ampicillin,20,25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412
869,Staphylococcus aureus,Cefuroxime,30,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,424.391
870,Staphylococcus aureus,Fosfomycin,50,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organic phosphonic acids and derivatives,138.059
871,Staphylococcus aureus,Chloramphenicol,30,29,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Benzene derivatives,323.132
872,Staphylococcus aureus,Tetracycline,30,32,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,444.44
873,Salmonella enterica,Azithromycin,15,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Organooxygen compounds,748.996
874,Salmonella enterica,Gentamicin,10,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Aminoglycoside ,477.603
875,Salmonella enterica,Oxacillin,1,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Carboxylic acids and derivatives,401.444
876,Salmonella enterica,Cefotaxime,40,21,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Lactams,477.456
877,Salmonella enterica,Neomycin,30,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,aminoglycoside ,614.65
878,Salmonella enterica,Ampicillin,20,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Organoheterocyclic compounds,349.412
879,Salmonella enterica,Cefuroxime,30,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Lactams,424.391
880,Salmonella enterica,Fosfomycin,50,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Organic phosphonic acids and derivatives,138.059
881,Salmonella enterica,Chloramphenicol,30,27,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Benzene derivatives,323.132
882,Salmonella enterica,Tetracycline,30,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,12,42,72,37,2,food,Tetracyclines,444.44
943,Escherichia coli,Amikacin,30,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,585.608
944,Escherichia coli,Gentamicin,30,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Aminoglycoside ,477.603
945,Escherichia coli,Kanamycin,30,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,484.503
946,Escherichia coli,Amoxicillin,30,14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,365.411
947,Escherichia coli,Ampicillin,30,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organoheterocyclic compounds,349.412
948,Escherichia coli,Penicillin,30,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,372.487
949,Escherichia coli,Ceftazidime,30,28,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,546.587
950,Escherichia coli,Ceftriaxone,30,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Lactams,554.592
951,Escherichia coli,Vancomycin,30,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,carboxylic acids,1449.271
952,Escherichia coli,Ciprofloxacin,30,36,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Quinolines,331.347
953,Escherichia coli,Doxycycline,30,2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,462.455
954,Escherichia coli,Tetracycline,30,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Tetracyclines,444.44
955,Escherichia coli,Chloramphenicol,30,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Benzene derivatives,323.132
956,Escherichia coli,Trimethoprim,30,28,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,phenol ethers,290.323
957,Acinetobacter baumannii,Amikacin,30,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,585.608
958,Acinetobacter baumannii,Gentamicin,30,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Aminoglycoside ,477.603
959,Acinetobacter baumannii,Kanamycin,30,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organooxygen compounds,484.503
960,Acinetobacter baumannii,Amoxicillin,30,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,365.411
961,Acinetobacter baumannii,Ampicillin,30,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Organoheterocyclic compounds,349.412
962,Acinetobacter baumannii,Penicillin,30,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Carboxylic acids and derivatives,372.487
963,Acinetobacter baumannii,Ceftazidime,30,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,546.587
964,Acinetobacter baumannii,Ceftriaxone,30,6,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Lactams,554.592
965,Acinetobacter baumannii,Vancomycin,30,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,carboxylic acids,1449.271
966,Acinetobacter baumannii,Ciprofloxacin,30,19,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Quinolines,331.347
967,Acinetobacter baumannii,Doxycycline,30,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,462.455
968,Acinetobacter baumannii,Tetracycline,30,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Tetracyclines,444.44
969,Acinetobacter baumannii,Chloramphenicol,30,15,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,Benzene derivatives,323.132
970,Acinetobacter baumannii,Trimethoprim,30,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,n,24,36,48,37,2,urine,phenol ethers,290.323
971,Klebsiella aerogenes,Amikacin,30,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Organooxygen compounds,585.608
972,Klebsiella aerogenes,Gentamicin,30,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Aminoglycoside ,477.603
973,Klebsiella aerogenes,Kanamycin,30,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Organooxygen compounds,484.503
974,Klebsiella aerogenes,Amoxicillin,30,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Lactams,365.411
975,Klebsiella aerogenes,Ampicillin,30,19,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Organoheterocyclic compounds,349.412
976,Klebsiella aerogenes,Penicillin,30,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Carboxylic acids and derivatives,372.487
977,Klebsiella aerogenes,Ceftazidime,30,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Lactams,546.587
978,Klebsiella aerogenes,Ceftriaxone,30,35,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Lactams,554.592
979,Klebsiella aerogenes,Vancomycin,30,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,carboxylic acids,1449.271
980,Klebsiella aerogenes,Ciprofloxacin,30,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Quinolines,331.347
981,Klebsiella aerogenes,Doxycycline,30,27,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Tetracyclines,462.455
982,Klebsiella aerogenes,Tetracycline,30,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Tetracyclines,444.44
983,Klebsiella aerogenes,Chloramphenicol,30,34,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,Benzene derivatives,323.132
